created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Mar 05 06:11:24 +0000 2024;1764896476382257662;"@abu_waras Kenapa bukan anies saja yg nyatakan itu? Bukankah anies adalah Capres yg kalian anggap "orang suci"???🤣🤣🤣🤣";0;0;0;0;in;1707994219825213440;1764772025435062527;Nonox2314;https://twitter.com/Nonox2314/status/1764896476382257662
Tue Mar 05 06:11:24 +0000 2024;1764896473425355155;"@PolJokesID Yg fanatik sama capres monggo direnungkan";0;0;0;0;in;953358162815369216;1764842828415566272;njeemhmd;https://twitter.com/njeemhmd/status/1764896473425355155
Tue Mar 05 06:11:08 +0000 2024;1764896409457947046;"@kumparan Namanya Indonesia Police Watch, tapi yg dilaporkan mantan gubernur dan capres. Sementara dugaan keterlibatan kecurangan pemilu yg dilakukan oknum polisi tidak di-watch sama sekali!";0;0;0;1;in;2475099950;1764872101880844439;wekokuncara;https://twitter.com/wekokuncara/status/1764896409457947046
Tue Mar 05 06:10:46 +0000 2024;1764896315119652880;"@3rwin__34 @ganjarpranowo @mohmahfudmd Sesuai hasil QC KOMPAS dan RC KPU perolehan suaranya cuma 16 % dibawah PEROLEHAN SUARA ARB WN KETURUNAN IMIGRAN/ASING pertama yg diusung jadi CAPRES di INDONESIA setelah UU diamandemen diijinkan IKUT PILPRES perolehan suaranya 24 %.";0;0;0;0;in;228652010;1764894640963235987;Bambang_Budimab;https://twitter.com/Bambang_Budimab/status/1764896315119652880
Tue Mar 05 06:10:28 +0000 2024;1764896238368178515;"@causeyouluvme @convomf KAK PLS AK MAU NONTON KUCING PARODI DEBAT CAPRES";0;0;0;0;in;1235201508511084550;1764835435459883412;crmlfrappees;https://twitter.com/crmlfrappees/status/1764896238368178515
Tue Mar 05 06:10:25 +0000 2024;1764896226183725394;"@causeyouluvme @convomf kak plis pengen nonton kucing parodi debat capres 🙏😭";0;0;0;0;in;1518463218792148993;1764835435459883412;ailurophilema;https://twitter.com/ailurophilema/status/1764896226183725394
Tue Mar 05 06:10:04 +0000 2024;1764896141458718798;"Setelah 01 dibully, kini capres 03 @ganjarpranowo disentil jg. Parah ini @habiburokhman kader @Gerindra ring 1 nya @prabowo .";0;0;0;0;in;1097559768804126720;1764896141458718798;DoesDeep;https://twitter.com/DoesDeep/status/1764896141458718798
Tue Mar 05 06:09:49 +0000 2024;1764896076451189157;"@gilang_ahm31272 Belum sembuh juga nih para cecunguk capres dungu, sampai arah yg bukan jalurnya dimasuki jiga ....memang sumua pecundang sdh pada edan";0;1;0;0;in;1565504642628214785;1764894517193507109;AryoKuncoro47;https://twitter.com/AryoKuncoro47/status/1764896076451189157
Tue Mar 05 06:09:29 +0000 2024;1764895994125386206;"@ARSIPAJA programnya bagus apalagi kl diliat dr DANA yg akan dialokasikan oleh pemerintah tp yg jd mslh adlh program/proyek tsb hrsnya diselenggarakan oleh pihak2 yg profesional tp nyatanya nnti malah dikerjakan oleh circle2 koalisi yg memenangkan capres kmrn (KKN).";0;0;0;0;in;1185826689504276481;1764806975274262762;GordTheLegend;https://twitter.com/GordTheLegend/status/1764895994125386206
Tue Mar 05 06:07:20 +0000 2024;1764895452041031893;"@causeyouluvme @convomf GW MAU LIAT KUCING PARODI DEBAT CAPRES";0;0;0;0;in;565886731;1764835435459883412;cattominyg;https://twitter.com/cattominyg/status/1764895452041031893
Tue Mar 05 06:06:21 +0000 2024;1764895203843060062;"@causeyouluvme @convomf MAU LIAT KUCING PARODI DEBAT CAPRES";0;1;0;5;in;1291801608699834368;1764835435459883412;giselleaespax;https://twitter.com/giselleaespax/status/1764895203843060062
Tue Mar 05 06:02:27 +0000 2024;1764894221411238174;"Update hasil real count Pilpres 2024, Senin (26/2/2024), pukul 12:00 WIB, paslon capres-cawapres nomor 02, Prabowo-Gibran, masih jadi yang teratas. https://t.co/WuGI2ncdN6";0;0;0;0;in;1076441484692312065;1764894221411238174;Wiligis_W11;https://twitter.com/Wiligis_W11/status/1764894221411238174
Tue Mar 05 05:59:21 +0000 2024;1764893443300769797;"@CNNIndonesia Ada tahapan hasil pemilu yang bisa diakses oleh semua Caleg atau Capres , awasi dan kawal  saja  https://t.co/3Rq7AQOdu7";0;0;0;1;in;1251824880967774208;1764890111529869548;Heraloebss;https://twitter.com/Heraloebss/status/1764893443300769797
Tue Mar 05 05:58:16 +0000 2024;1764893169932710101;"@causeyouluvme @convomf mau nonton kucing parodi debat capres 😭";0;0;0;0;in;1012180993485049856;1764835435459883412;ahnzhen;https://twitter.com/ahnzhen/status/1764893169932710101
Tue Mar 05 05:57:27 +0000 2024;1764892962469913006;"@NetralID62 @SmokesOnMyHead @DatukPanduto_ Wkwkwk.. tukang jilat batang..  Kaum 🏳️‍🌈 kayak loe mana bisa menang capres yg didukung..";0;1;0;0;in;1557693391;1556853151474409472;zamal_wilda;https://twitter.com/zamal_wilda/status/1764892962469913006
Tue Mar 05 05:55:57 +0000 2024;1764892586232471996;"@Dennysiregar7 Krn bahas capres udh gak ada harapan , skrg bahas barang baru ...biar  keliatan kerja dan ada usaha ☕🤭";0;0;0;0;in;1362802672579977216;1764866849676857711;Hagai03207197;https://twitter.com/Hagai03207197/status/1764892586232471996
Tue Mar 05 05:55:36 +0000 2024;1764892498332360862;"@causeyouluvme @convomf KUCING PARODI DEBAT CAPRES";0;0;0;0;in;1197530012041256960;1764835435459883412;watsongitis;https://twitter.com/watsongitis/status/1764892498332360862
Tue Mar 05 05:54:46 +0000 2024;1764892288315220092;"@Kanjeng2022 Lu benci boleh. Gak suka jg gpp. Tapi.... jgn fitnah. Jgn buat cerita hoax. Prabowo Soebianto trah-nya sangat detail dan jelas. Gak ada yg ditutupi. Bahkan jauhhhh sblm dia men-capres-kan diri. Semuanya terang benderang.   So berhentilah menyebarkan hoax. Itu menjijikkan! 🤮🤮🤮";0;0;0;0;in;1339754306870726657;1764703835338269020;ansal1979;https://twitter.com/ansal1979/status/1764892288315220092
Tue Mar 05 05:54:14 +0000 2024;1764892152868553096;"@Anggo____ 사이버 펑크적 미녀 셀카 👏🏻👏🏻";0;0;0;0;ko;1538455438605201410;1764874036709068876;103ACapres;https://twitter.com/103ACapres/status/1764892152868553096
Tue Mar 05 05:53:55 +0000 2024;1764892075621826751;"@Nyi_Maheswari @psi_id @CherylTanzil @Uki23 @DPR_RI Itu SIREKAP tante… SIREKAP itu Kerjaan Sistem Aplikasi Komputer!!!  Peganglah Arsip SAKSI TPS kalian dan Sesuaikan dengan HASIL REAL COUNT KPU!!! Kan setiap HITUNGAN KPU selalu ada SAKSI PARTAI &amp  Capres!!!  Bijimana seh";0;0;0;0;in;394675941;1764798608681885937;BattoAjax;https://twitter.com/BattoAjax/status/1764892075621826751
Tue Mar 05 05:51:23 +0000 2024;1764891435881714072;"@causeyouluvme @convomf kucing parodi debat capres, ini kucingnya bs ngomong kh?😭";0;0;0;0;in;1102240656607436800;1764835435459883412;pcrnypcrhin;https://twitter.com/pcrnypcrhin/status/1764891435881714072
Tue Mar 05 05:49:15 +0000 2024;1764890901044941278;"@causeyouluvme @convomf yang parodi debat capres jgn di private napa😭 pasti viral itu wkwkwk";0;0;0;32;in;1561887919521927169;1764835435459883412;zxnlrx;https://twitter.com/zxnlrx/status/1764890901044941278
Tue Mar 05 05:46:46 +0000 2024;1764890275934294109;"@causeyouluvme @convomf Kucing parodi debat capres😭😭😭";0;0;0;0;in;884250613524987904;1764835435459883412;qidszypizzy;https://twitter.com/qidszypizzy/status/1764890275934294109
Tue Mar 05 05:46:06 +0000 2024;1764890107348484098;"@ARSIPAJA Gua merasa engga diwakilin sama mereka";0;0;0;0;in;1260342062781657089;1764871179578593691;ridwanlzd;https://twitter.com/ridwanlzd/status/1764890107348484098
Tue Mar 05 05:46:02 +0000 2024;1764890091691061310;"Kalo pemilu cari menang doang mah, capres selanjutnya bikin janji hapus cukai rokok aja. Yg bukan perokok juga kayanya ganyampe 40% penduduk, auto win.";0;0;0;0;in;518409202;1764890091691061310;rhmngbd;https://twitter.com/rhmngbd/status/1764890091691061310
Tue Mar 05 05:44:41 +0000 2024;1764889749918224816;"jadi inget ada capres yg merhatiin hal kecil kyk gini🤧😂 HAHAHA ah sudalah kita makan gratis sj 2029 https://t.co/BvJKT4phCr";0;0;0;0;in;1059810834099011584;1764888499797569928;msmustikaaa;https://twitter.com/msmustikaaa/status/1764889749918224816
Tue Mar 05 05:44:25 +0000 2024;1764889686525251813;"🤭😁 dari jaman kadrun juga yg beginian gagal mulu   Skrg giliran Bajer capres kalah si janggar jd provokator demo 🤭   Pa @CCICPolri @DivHumas_Polri ada ajakan untuk keonaran 👇";0;0;0;0;in;1604408934525464576;1764889686525251813;xquitavee;https://twitter.com/xquitavee/status/1764889686525251813
Tue Mar 05 05:44:23 +0000 2024;1764889676576591886;"@tvOneNews Wkwkwkwkwk KABINET MENTRI PRABORO, emang dia siapa. Baru CAPRES CURANG broooo 🤣🤣🤣";0;0;0;0;in;1737047901757743104;1764803822898344186;GrosirJogjaya;https://twitter.com/GrosirJogjaya/status/1764889676576591886
Tue Mar 05 05:44:01 +0000 2024;1764889585182740975;"@herjobi @momon_garuk44 @yennywahid Hahaha... klau jokowi udah tahu Ganjar kalah, ngapain sirambut putih diendors.  Ditengah jalan berubah haluan mengendors prabowo, karna paman Usman menyiapkan paket cawapres. hahaha... tp ngomong didepan rakyat, klau capres -cawapres itu urusan partai, bukan urusan presiden.😂";0;0;0;0;in;1543882918992367616;1763800337348227476;AlimMaktour;https://twitter.com/AlimMaktour/status/1764889585182740975
